SL NO.,Base Product,Capacity/Operating Hours,UOM,Batch Count,Operating Hours,Count Of Chef,Count of Staff
1,RG HOT MIXTURE,250.00,KG,10,9.15,1,14
2,RG KERALA MIXTURE ,250.00,KG,10,9.15,1,14
3,RG BANANA CHIPS ,193.00,KG,25,9.45,1,11
4,RG PALAK MURUKKU ,216.00,KG,18,9.45,1,12
5,RG MURUKKU ,216,KG,18,9.45,1,12
6,RG BABY MURUKKU,216,KG,18,9.45,1,12
7,RG CASSAVA CHIPS ,183,KG,26,9,1,14
8,RG SPICY CASSAVA CHIPS ,183,KG,26,9,1,14
9,RG CASSAVA STICK ,183,KG,26,9,1,14
10,RG SPICY CASSAVA STICK ,183,KG,26,9,1,14
11,RG SHARKARAVARATTY,120,KG,5,1,1,5
12,RG RIBBON PAKKAVADA,216,KG,18,9.3,1,12
13,RG SWEET BANANA CHIPS ,181,KG,23,9.3,1,14
14,RG MALABAR MIXTURE,250.00,KG,10,9.15,1,14
15,RG ANDHRA MURUKKU,216,KG,18,9.45,1,12
