SKU ID,Packaging Material,Quantity,Unit Cost
RGHMIX150,"Pouches : BOP, PP",1,1.05
RGHMIX454,"Pouches : BOP, PP",,2.05
RGHMIX908,"Pouches : BOP, PP",,2.48
RGHMIX300,BOTT:PET,1,13.05
,,,
RGKMIX150,"Pouches : BOP, PP",1,1.05
RGKMIX454,"Pouches : BOP, PP",,2.05
RGKMIX908,"Pouches : BOP, PP",,2.44
RGKMIX300,BOTT,1,13.05
,,,
RGBNC150,"Pouches : BOP, PP",1,1.33
RGBNC400,,,2.04
RGBNC800,,,2.92
RGBNC200,BOTT,1,13.05
,,,
RGPLK454,"Pouches : BOP, PP",1,2.04
RGPLK250,BOTT,1,13.05
,,,
RGMUK150,"Pouches : BOP, PP",1,1.03
RGMUK454,,,2.03
RGMUK250,BOTT,1,13.05
,,,
RGBBMUK454,"Pouches : BOP, PP",1,2.06
RGBBMUK250,BOTT,1,13.05
,,,
RGCAC150,"Pouches : BOP, PP",1,1.62
RGCAC125,BOTT,1,13.05
,,,
RGSCAC150,"Pouches : BOP, PP",1,1.62
RGSCAC125,BOTT,1,13.05
,,,
RGCAS150,"Pouches : BOP, PP",1,1.48
RGCAS200,BOTT,1,13.05
,,,
RGSCAS150,"Pouches : BOP, PP",1,1.46
RGSCAS200,BOTT,1,13.05
,,,
RGSKVTY200,"Pouches : BOP, PP",1,1.46
RGSKVTY200B,BOTT,1,10.54
,,,
RGRPV150,"Pouches : BOP, PP",1,1.63
RGRPV200,BOTT,1,13.05
,,,
RGSBNC150,"Pouches : BOP, PP",1,1.34
,BOTT,1,13.05
,,,
RGMMIX300,,1,3.60 label
RGMMIX300,BOTT,1,13.05
,,,
RGANM250,,1,3.60 label
RGANM250,BOTT,1,13.05
