Base Product,Raw Material,Quantity Per Batch,UOM,Unit Cost  Per Batch,,,
RG HOT MIXTURE,Kadala mavu,9.00,KG,89,,,
RG HOT MIXTURE,Rice powder,4.00,KG,36,,,
RG HOT MIXTURE,Turmeric,10.00,G,0.21,,,
RG HOT MIXTURE,Paal kayam,120.00,G,0.6,,,
RG HOT MIXTURE,Vattal Mulak,100.00,KG,335,,,
RG HOT MIXTURE,Kayam powder,86.00,G,0.77,,,
RG HOT MIXTURE,Kadala,2.00,KG,140,,,
RG HOT MIXTURE,Curry Leaves,500.00,G,0.09,, ,
RG HOT MIXTURE,Pottukadala,2.00,KG,90,,,
RG HOT MIXTURE,Kashmiri Chilli,380.00,G,0.504,,,
RG HOT MIXTURE,Chilli powder,350.00,G,0.261,,,
RG HOT MIXTURE,Meat Masala,350.00,G,0.315,,,
RG HOT MIXTURE,Salt,328.00,G,0.025,,,
RG KERALA MIXTURE ,Kadala mavu,9.00,KG,89,,,
RG KERALA MIXTURE ,Rice powder,4.00,KG,36,,,
RG KERALA MIXTURE ,Turmeric,10.00,G,0.21,,,
RG KERALA MIXTURE ,Paal kayam,120.00,G,0.6,,,
RG KERALA MIXTURE ,Vattal Mulak,100.00,G,0.335,,,
RG KERALA MIXTURE ,Kayam powder,86.00,G,0.77,,,          
RG KERALA MIXTURE ,Kadala,2.50,KG,140,,,
RG KERALA MIXTURE ,Garlic,300.00,G,0.17,,,
RG KERALA MIXTURE ,Curry Leaves,500.00,G,0.09,,,
RG KERALA MIXTURE ,Pottukadala,2.60,KG,90,,,
RG KERALA MIXTURE ,Kashmiri Chilli,300.00,G,0.504,,,
RG KERALA MIXTURE ,Chilli powder,380.00,G,0.261,,,
RG KERALA MIXTURE ,Meat Masala,270.00,G,0.315,,,
RG KERALA MIXTURE ,Salt,260.00,G,0.025,,,
RG BANANA CHIPS ,Raw banana,715.40,KG,59,,,
RG BANANA CHIPS ,Turmeric,2.95,KG,210,,,
RG BANANA CHIPS ,Stone salt,2.42,KG,23,,,
RG PALAK MURUKKU ,uzhunnu,600.00,G,0.118,,,
RG PALAK MURUKKU ,Rice powder,7.00,KG,36,,,
RG PALAK MURUKKU , Kadala mavu,1.80,KG,89,,,
RG PALAK MURUKKU , chilli powder,86.00,G,0.261,,,
RG PALAK MURUKKU ,Meast masal,26.00,G,,,,
RG PALAK MURUKKU ,Kashmiri Chili,26.00,G,,,,
RG PALAK MURUKKU ,Cumin,106.00,G,0.239,,,
RG PALAK MURUKKU ,Salt,188.00,G,0.025,,,
RG PALAK MURUKKU ,Paal kayam,26.00,G,0.6,,,
RG PALAK MURUKKU ,Pottukadala podi ,100.00,G,0.13,,,
RG PALAK MURUKKU ,Food color (symega color),15.00,ML,1.98,,,
RG PALAK MURUKKU ,Karim jeerakam ,30.00,G,0.25,,,
RG PALAK MURUKKU ,Paal kayam,26.00,G,0.6,,,
RG PALAK MURUKKU ,Hot oil,700.00,ML,0.16,,,
RG MURUKKU ,Uzhunnu,1.20,KG,118,,,
RG MURUKKU ,Rice powder,7.00,KG,36,,,
RG MURUKKU ,Kadala mavu,1.80,KG,89,,,
RG MURUKKU ,Chilli powder,62.00,G,261,,,
RG MURUKKU ,Kashmiri chilli powder,26.00,G,504,,,
RG MURUKKU ,Salt,190.00,G,0.025,,,
RG MURUKKU ,Sesame,60.00,G,250,,,
RG MURUKKU ,Meat masala,26.00,G,0.315,,,
RG MURUKKU ,Cumin,50.00,G,239,,,
RG MURUKKU ,Karim jeerakam,60.00,G,250,,,
RG MURUKKU ,Hot oil,700.00,ML,0.16,,,
RG BABY MURUKKU,uzhunnu,800.00,G,118,,,
RG BABY MURUKKU,Rice powder,7.00,KG,36,,,
RG BABY MURUKKU,Kadala mavu,1.80,KG,89,,,
RG BABY MURUKKU,Kashmiri Chilli powder,26.00,G,0.504,,,
RG BABY MURUKKU,Chilli Powder,62.00,G,,,,
RG BABY MURUKKU,Karim jeerakam,70.00,G,250,,,
RG BABY MURUKKU,sesame,60.00,G,250,,,
RG BABY MURUKKU,Meat masala,26.00,G,0.315,,,
RG BABY MURUKKU,Hot oil,700.00,ML,0.16,,,
RG BABY MURUKKU,Salt,188.00,G,0.025,,,
RG CASSAVA CHIPS ,Raw cassava,500.00,KG,25,,,
RG CASSAVA CHIPS ,Salt Crystal ,4.00,G,0.023,,,
RG SPICY CASSAVA CHIPS ,Raw cassava,500.00,KG,25,,,
RG SPICY CASSAVA CHIPS ,Asafoetida,185.00,G,0.77,,,
RG SPICY CASSAVA CHIPS ,Chilly powder,2.78,KG,261,,,
RG SPICY CASSAVA CHIPS ,Kashmiri chilly powder,1.85,KG,504,,,
RG SPICY CASSAVA CHIPS ,Salt,375.00,G,0.025,,,
RG SPICY CASSAVA CHIPS ,Salt Crystal ,4.00,KG,0.023,,,
RG CASSAVA STICK ,Raw cassava,500.00,KG,25,,,
RG CASSAVA STICK ,Salt Crystal ,4.00,KG,0.023,,,
RG SPICY CASSAVA STICK ,Raw cassava,500.00,KG,25,,,
RG SPICY CASSAVA STICK ,Asafoetida,185.00,KG,0.77,,,
RG SPICY CASSAVA STICK ,Chilly powder,2.78,KG,261,,,
RG SPICY CASSAVA STICK ,Kashmiri chilly powder,1.85,KG,504,,,
RG SPICY CASSAVA STICK ,Salt,375.00,,0.025,,,
RG SPICY CASSAVA STICK ,Salt Crystal ,4.00,KG,0.023,,,
RG SHARKARAVARATTY,Banana chips,12.00,KG,,,,
RG SHARKARAVARATTY,Sharkara,12.00,KG,53,,,
RG SHARKARAVARATTY,Chukkupodi,380.000,G,600,,,
RG SHARKARAVARATTY,Pepper,164.00,G,1,,,
RG SHARKARAVARATTY,Cumin,190.00,G,239,,,
RG RIBBON PAKKAVADA,Rice powder,5.00,KG,36,,,
RG RIBBON PAKKAVADA,Tapioca powder,1.00,KG,34,,,
RG RIBBON PAKKAVADA,Kadala podi,3.00,KG,89,,,
RG RIBBON PAKKAVADA,Ayamodhakam,50.00,G,0.23,,,
RG RIBBON PAKKAVADA,Kashmiri powder,200.00,G,0.504,,,
RG RIBBON PAKKAVADA,Chilli powder,220.00,G,0.261,,,
RG RIBBON PAKKAVADA,Turmeric,30.00,G,0.21,,,
RG RIBBON PAKKAVADA,Salt,250.00,G,0.025,,,
RG RIBBON PAKKAVADA,Pottukadala powder,1.00,KG,0.13,,,
RG RIBBON PAKKAVADA,Paalkayam,150.00,G,0.6,,,
RG RIBBON PAKKAVADA,Hot oil,700.00,ML,0.16,,,
RG RIBBON PAKKAVADA,Cumin powder,50.00,G,0.28,,,
RG SWEET BANANA CHIPS ,Sweet banana,508.00,KG,,,,
RG MALABAR MIXTURE,Kadala mavu,4,KG,89,,,
RG MALABAR MIXTURE,Rice powder,9,KG,36,,,
RG MALABAR MIXTURE,Turmeric,10,G,0.21,,,
RG MALABAR MIXTURE,Paal kayam,120,G,0.6,,,
RG MALABAR MIXTURE,Vattal Mulak,100,G,0.335,,,
RG MALABAR MIXTURE,Kayam powder,86,G,0.77,,,
RG MALABAR MIXTURE,Kadala,1,KG,140,,,
RG MALABAR MIXTURE,Garlic,300,G,0.17,,,
RG MALABAR MIXTURE,Curry Leaves,500,G,0.09,,,
RG MALABAR MIXTURE,Pottukadala,2.6,KG,90,,,
RG MALABAR MIXTURE,Kashmiri Chilli,334,G,0.504,,,
RG MALABAR MIXTURE,Chilli powder,446,G,0.261,,,
RG MALABAR MIXTURE,Meat Masala,370,G,0.315,,,
RG MALABAR MIXTURE,Salt,308,G,0.025,,,
RG MALABAR MIXTURE,masoor dal,2.5,KG,66,,,
RG ANDHRA MURUKKU,Rice flour ,7,KG,36,,,
RG ANDHRA MURUKKU,kadala mavu,1.5,KG,89,,,
RG ANDHRA MURUKKU,uzhunnu powder ,800,G,158,,,
RG ANDHRA MURUKKU,kashmiri chilli powder ,100,G,0.504,,,
RG ANDHRA MURUKKU,Chilli powder  ,178,G,0.261,,,
RG ANDHRA MURUKKU,meat masala ,26,G,0.315,,,
RG ANDHRA MURUKKU,sesame black,30,G,0.25,,,
RG ANDHRA MURUKKU,sesame white ,30,G,0.45,,,
RG ANDHRA MURUKKU,jeerakam ,76,G,0.239,,,
RG ANDHRA MURUKKU,hot oil,700,ML,0.164,,,
RG ANDHRA MURUKKU,salt,196,G,0.025,,,
RG ANDHRA MURUKKU,Food colour,50,ML,,,,
