SKU ID,SKU NAME,Base Product,Pack Size (g),Packet Per Box,Packing Qty / Hour,Packing SaffCount
RGHMIX150,RG HOT MIXTURE 150 GM PKT,RG HOT MIXTURE,150,30,214,3
RGHMIX454,RG HOT MIXTURE 454 GM PKT,RG HOT MIXTURE,454,24,144,3
RGHMIX908,RG HOT MIXTURE 908 GM PKT,RG HOT MIXTURE,908,12,121,3
RGHMIX300,RG HOT MIXTURE 300 GM BOTTLE,RG HOT MIXTURE,300,20,250,4
RGKMIX150,RG KERALA MIXTURE 150 GM PKT,RG KERALA MIXTURE ,150,30,214,3
RGKMIX454,RG KERALA MIXTURE 454 GM PKT,RG KERALA MIXTURE ,454,24,144,3
RGKMIX908,RG KERALA MIXTURE 908 GM PKT,RG KERALA MIXTURE ,908,12,121,3
RGKMIX300,RG KERALA MIXTURE 300 GM BOTTLE,RG KERALA MIXTURE ,300,20,250,4
RGBNC150,RG BANANA CHIPS 150 GM PKT,RG BANANA CHIPS ,150,30,214,3
RGBNC400,RG BANANA CHIPS 400 GM PKT,RG BANANA CHIPS ,400,24,144,3
RGBNC800,RG BANANA CHIPS 800 GM PKT,RG BANANA CHIPS ,800,12,121,3
RGBNC200,RG BANANA CHIPS 200 GM BOTTLE,RG BANANA CHIPS ,200,20,250,4
RGPLK454,RG PALAK MURUKKU 454 GM PKT,RG PALAK MURUKKU ,454,24,144,3
RGPLK250,RG PALAK MURUKKU 250 GM BOTTLE ,RG PALAK MURUKKU ,250,20,250,4
RGMUK150,RG MURUKKU 150 GM PKT,RG MURUKKU ,150,30,214,3
RGMUK454,RG MURUKKU 454 GM PKT,RG MURUKKU ,454,24,144,3
RGMUK250,RG MURUKKU 250 GM BOTTLE ,RG MURUKKU ,250,20,250,4
RGBBMUK454,RG BABY MURUKKU 454 GM PKT,RG BABY MURUKKU,454,24,144,3
RGBBMUK250,RG BABY MURUKKU 250 GM BOTTLE ,RG BABY MURUKKU,250,20,250,4
RGCAC150,RG CASSAVA CHIPS 150 GM PKT,RG CASSAVA CHIPS ,150,30,214,3
RGCAC125,RG CASSAVA CHIPS 125 GM BOTTLE,RG CASSAVA CHIPS ,125,20,250,4
RGSCAC150,RG SPICY CASSAVA CHIPS 150 GM PKT,RG SPICY CASSAVA CHIPS ,150,30,214,3
RGSCAC125,RG SPICY CASSAVA CHIPS 125 GM BOTTLE,RG SPICY CASSAVA CHIPS ,125,20,250,4
RGCAS150,RG CASSAVA STICK 150 GM PKT,RG CASSAVA STICK ,150,30,214,3
RGCAS200,RG CASSAVA STICK 200 GM BOTTLE ,RG CASSAVA STICK ,200,20,250,4
RGSCAS150,RG SPICY CASSAVA STICK 150 GM PKT,RG SPICY CASSAVA STICK ,150,30,214,3
RGSCAS200,RG SPICY CASSAVA STICK 200 GM BOTTLE ,RG SPICY CASSAVA STICK ,200,20,250,4
RGSKVTY200,RG SHARKARAVARATTY 200 GM PKT,RG SHARKARAVARATTY,200,20,300,4
RGRPV150,RG RIBBON PAKKAVADA 150 GM PKT,RG RIBBON PAKKAVADA,150,30,214,3
RGRPV200,RG RIBBON PAKKAVADA 200 GM BOTTLE ,RG RIBBON PAKKAVADA,200,20,250,4
RGSBNC150,RG SWEET BANANA CHIPS 150 GM PKT,RG SWEET BANANA CHIPS ,150,30,214,3
RGSBNC200,RG SWEET BANANA CHIPS 200 BOTTLE ,RG SWEET BANANA CHIPS ,200,30,250,4
RGANM250,RG ANDHRA MURUKKU 250 GM BOTTLE,RG ANDHRA MURUKKU,250,20,250,4
RGMMIX300,RG MALABAR MIXTURE 300 GM BOTTLE,RG MALABAR MIXTURE,300,20,250,4
RGSKVTY200B,RG SHARKARAVARATTY 200 GM PKT,RG SPICY CASSAVA STICK ,200,20,250,4
